timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1756670400000,108930.0,109230.0,108076.93,108246.35,1290.13839,1756684799999,140203797.27838460,235218,641.21848000,69695034.40938510,0
1756684800000,108246.36,108482.98,107393.0,107660.01,3206.34097,1756699199999,345784012.64506980,678736,1375.11859000,148293046.64138160,0
1756699200000,107660.0,109432.99,107255.0,109432.99,2904.1728,1756713599999,314052268.67128990,493783,1561.84645000,169036237.61859190,0
1756713600000,109432.99,109912.4,108186.41,108782.88,3111.29125,1756727999999,339723577.21505800,498993,1419.73877000,155028031.51873520,0
1756728000000,108782.89,109520.0,108566.0,108784.33,2266.34513,1756742399999,247152798.24657160,411529,1002.90732000,109391704.18917580,0
1756742400000,108784.33,109329.65,108391.3,109217.64,1553.15049,1756756799999,169171627.41311090,266402,729.82289000,79485942.09904600,0
1756756800000,109217.65,109442.95,107459.49,109237.42,3012.30155,1756771199999,326632354.59003500,379941,1443.55699000,156495986.91750290,0
1756771200000,109237.43,110623.97,108883.8,110322.18,3166.02008,1756785599999,347302857.09203740,400395,1758.40749000,192932933.82073590,0
1756785600000,110322.19,110610.5,110000.0,110233.92,1952.71608,1756799999999,215347311.92848680,328089,994.93733000,109733095.59170230,0
1756800000000,110233.91,110711.1,109563.87,109733.34,2462.01591,1756814399999,271307194.73283180,361037,1048.27551000,115579298.95149500,0
1756814400000,109733.33,111771.52,108393.39,110829.17,6768.89317,1756828799999,747343925.58072980,880798,3315.12492000,366060490.73815770,0
1756828800000,110829.16,111119.58,110200.0,110806.0,2585.23037,1756843199999,286198581.18941530,430929,1163.37175000,128803940.00837420,0
1756843200000,110806.01,111538.17,110716.77,111240.01,1575.41195,1756857599999,175181581.37813730,195080,808.60027000,89923046.42633440,0
1756857600000,111240.01,111782.21,110892.14,111054.01,2263.61693,1756871999999,251962277.51238080,400128,1035.13985000,115264434.13091300,0
1756872000000,111054.0,111151.99,110528.71,111099.88,1539.69973,1756886399999,170595738.50876580,260732,572.85090000,63480328.84472480,0
1756886400000,111099.87,111708.0,110889.29,111437.77,1514.83708,1756900799999,168636555.41170260,286651,811.07758000,90303943.38083840,0
1756900800000,111437.77,112500.0,111031.61,112222.74,3550.00487,1756915199999,396916280.07101570,746472,1807.53585000,202109934.96599240,0
1756915200000,112222.73,112575.27,111686.24,112193.74,1957.30873,1756929599999,219492588.71274140,351115,913.79838000,102476028.15755290,0
1756929600000,112193.74,112250.0,111613.98,111705.71,948.2535,1756943999999,106159177.12705820,169151,398.89206000,44659007.02749640,0
1756944000000,111705.72,112180.0,111136.0,111148.97,1484.75903,1756958399999,165748620.00623790,303729,652.02619000,72804148.40546280,0
1756958400000,111148.97,111318.84,110279.68,110463.36,2293.72804,1756972799999,253892672.88128080,341359,895.54519000,99123553.26362450,0
1756972800000,110463.36,111154.93,110415.72,110810.0,1251.00126,1756987199999,138632770.05667890,246423,668.87931000,74125292.96236330,0
1756987200000,110810.0,111123.99,109329.12,109510.31,3057.95062,1757001599999,336674953.01896190,635685,1500.41170000,165173050.41215980,0
1757001600000,109510.32,110218.39,109363.26,109799.99,2124.63495,1757015999999,233220356.07925450,376615,1370.88022000,150452129.13521630,0
1757016000000,109800.0,111765.31,109755.59,110730.87,1991.06146,1757030399999,220861953.48967060,326444,983.03890000,109003011.64688340,0
1757030400000,110730.87,111482.09,110435.75,111311.77,1665.5758,1757044799999,184903566.38100620,310264,896.56239000,99523095.37650180,0
1757044800000,111311.78,112999.0,111144.51,112954.32,3481.17531,1757059199999,390189332.51001230,410628,1791.39517000,200892965.23502570,0
1757059200000,112954.32,112985.0,112131.02,112354.0,1956.82884,1757073599999,220089308.29147490,280041,945.71148000,106345395.03086400,0
1757073600000,112354.0,113384.62,110286.91,110716.82,9805.88987,1757087999999,1098894219.30964330,1310302,5024.28213000,563019857.17222220,0
1757088000000,110716.82,111627.51,110206.96,111614.54,2167.09419,1757102399999,240396957.97819890,350335,1005.04190000,111487864.14964540,0
1757102400000,111614.54,111700.0,110375.6,110659.99,2510.84487,1757116799999,278658816.15298940,308849,1124.81820000,124797084.26294190,0
1757116800000,110660.0,111307.7,110552.56,111082.22,800.18218,1757131199999,88738263.42799800,140100,353.50927000,39209399.27270470,0
1757131200000,111082.23,111082.23,110687.69,110825.6,687.98406,1757145599999,76249293.02100220,94842,247.55686000,27432976.90144220,0
1757145600000,110825.59,110968.0,110675.58,110781.02,621.90211,1757159999999,68882709.44001820,93699,313.76931000,34752578.20476860,0
1757160000000,110781.03,110999.83,110358.11,110384.15,886.00942,1757174399999,98108968.71789900,142658,460.89526000,51042181.36652530,0
1757174400000,110384.16,110402.0,109977.0,110038.41,1391.66059,1757188799999,153326892.03409560,233868,605.91642000,66759272.27371200,0
1757188800000,110038.42,110282.82,110034.44,110187.97,612.56061,1757203199999,67479809.90245690,90034,327.18585000,36041018.92685820,0
1757203200000,110187.98,110733.12,110180.0,110629.15,948.63792,1757217599999,104787931.40718370,116828,389.49018000,43022071.94874020,0
1757217600000,110629.15,110911.42,110463.1,110753.42,872.74711,1757231999999,96571750.76981000,108685,381.50211000,42229956.33231190,0
1757232000000,110753.41,111377.19,110720.01,111292.13,1214.41306,1757246399999,134950562.86242730,190930,552.37185000,61369941.35678530,0
1757246400000,111292.12,111412.0,111042.6,111329.99,837.52385,1757260799999,93137851.40595570,142417,344.09796000,38265361.05512750,0
1757260800000,111329.99,111371.35,110861.2,111259.99,940.48526,1757275199999,104481951.63920650,147101,469.78447000,52170540.84610150,0
